ALC_mg/L,CONDUCT_mS/cm,SDT_M_mg/L,FLUORUROS_mg/L,DUR_mg/L,COLI_FEC_NMP/100_mL,N_NO3_mg/L,AS_TOT_mg/L,CD_TOT_mg/L,CR_TOT_mg/L,HG_TOT_mg/L,PB_TOT_mg/L,MN_TOT_mg/L,FE_TOT_mg/L,SEMAFORO
174.27,407.0,268.4,1.1295,159.36,1.0,5.732651,0.02,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
226.44,609.0,450.3333,1.1237,249.0,1.0,20.373571,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
364.08,1789.0,1200.3333,1.8841,816.72,10.0,1.604578,0.1131,0.002,0.004,0.0004,0.004,0.0014,0.0483,Rojo
171.915,576.0,402.2,1.853,179.514,1.0,3.949555,0.0834,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
229.95,524.0,337.4,2.8089,175.5248,1.0,2.294474,0.1535,0.002,0.004,0.0004,0.004,0.0014,0.0359,Rojo
254.04,640.0,362.2,1.491,175.5248,1.0,2.645957,0.2518,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
171.915,507.0,318.2,1.568,133.6382,1.0,2.72281,0.0678,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
158.775,622.0,307.8,13.0078,19.0,1.0,1.985283,0.0745,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
267.18,1931.0,1283.3333,1.2869,570.4556,1.0,16.017352,0.0425,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
278.13,1732.0,1108.3333,1.3036,523.896,160.0,18.395456,0.053,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
281.415,1286.0,860.3333,1.3098,330.672,1.0,7.357424,0.1002,0.002,0.004,0.0004,0.004,0.0014,0.1367,Rojo
297.84,2078.0,1340.0,1.0852,587.64,1.0,0.245401,0.0775,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
254.04,851.0,491.0,1.0721,229.08,1.0,0.899445,0.0711,0.002,0.004,0.0004,0.004,0.0014,0.0353,Rojo
249.66,808.0,479.0,1.0707,231.072,1.0,0.243175,0.0639,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
246.375,608.0,887.3333,0.9514,55.776,211.0,1.812587,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
137.97,2630.0,2354.0,0.9793,1216.706,24196.0,6.579332,0.009,0.002,0.004,0.0004,0.004,0.0091,0.4713,Rojo
219.78,330.0,284.0,1.4232,39.584,75.0,0.651957,0.0307,0.002,0.004,0.0004,0.004,0.0141,0.0288,Rojo
197.1,389.0,265.8,0.76,139.622,20.0,0.703803,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
235.425,544.0,330.0,3.0407,113.6922,1162.0,0.771932,0.009,0.002,0.004,0.0004,0.004,0.0022,0.1505,Rojo
168.63,346.0,214.6,1.7074,103.7192,41.0,0.706184,0.0221,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
269.37,560.0,380.0,1.7899,169.541,10.0,1.120973,0.0211,0.002,0.0087,0.0004,0.004,0.0118,0.0334,Rojo
248.565,856.0,453.0,34.8033,19.0,1.0,0.070972,0.2887,0.002,0.004,0.0004,0.004,0.0274,1.139,Rojo
217.905,647.0,471.3333,3.6351,171.312,1.0,3.152818,0.0539,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
173.01,454.0,293.0,1.9198,165.336,1.0,0.86371,0.0217,0.002,0.004,0.0004,0.004,0.0041,0.024,Rojo
98.55,270.0,195.6667,5.0366,39.84,1.0,1.749642,0.0651,0.002,0.004,0.0004,0.004,0.0014,0.0456,Rojo
82.125,170.0,136.0,0.471,63.8272,1.0,3.118831,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
122.64,179.0,317.6667,1.1346,69.272,1.0,0.274649,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0537,Verde
192.72,275.0,317.0,0.888,85.1056,1.0,1.736969,0.009,0.002,0.004,0.0004,0.004,0.0153,0.024,Verde
245.28,545.0,370.4,11.6323,21.9406,1.0,0.705931,0.1552,0.002,0.004,0.0004,0.004,0.0203,0.1025,Rojo
144.54,365.0,257.4,0.5567,159.568,1.0,7.933859,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
101.01,289.0,182.0,4.9721,35.856,1.0,0.9452,0.1184,0.002,0.004,0.0004,0.004,0.0488,1.903,Rojo
167.61,343.0,246.2,0.249,121.512,1.0,2.080932,0.009,0.002,0.004,0.0004,0.004,0.0092,0.2047,Verde
357.42,966.0,732.6,5.2268,75.696,1.0,0.225885,0.0421,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
266.4,759.0,500.2,0.1,308.76,1.0,0.729592,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
317.55,600.0,597.2,1.2237,243.4416,10.0,5.818675,0.0336,0.002,0.004,0.00054,0.004,0.0014,0.024,Rojo
466.47,599.0,570.0,1.5535,237.504,1.0,0.784877,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
388.725,619.0,467.6667,2.2075,172.1904,1.0,0.820841,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0253,Rojo
336.165,479.0,731.6667,1.939,158.336,249.0,1.924454,0.009,0.002,0.004,0.00051,0.004,0.0014,0.024,Rojo
405.15,558.0,770.0,2.9383,188.024,20.0,0.701152,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
448.95,598.0,578.3333,4.8495,152.3984,169.0,0.997268,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
330.69,499.0,414.6667,2.2834,170.2112,1.0,2.921325,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
527.79,858.0,632.2,1.693,81.1472,1.0,0.673071,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
310.98,598.0,456.4,12.2933,19.0,1.0,3.902281,0.033,0.002,0.0071,0.0004,0.004,0.0014,0.024,Rojo
260.61,433.0,417.8,0.8818,215.7328,20.0,10.391473,0.057,0.002,0.0192,0.0004,0.004,0.0014,0.0786,Rojo
149.85,205.0,335.2,0.9051,96.9808,1.0,1.712668,0.0135,0.002,0.004,0.0004,0.004,0.0014,0.0281,Verde
194.25,320.0,432.6,0.8714,122.7104,1.0,8.086884,0.0239,0.002,0.004,0.0004,0.004,0.4954,0.0561,Amarillo
186.15,362.0,376.6667,0.3603,211.7744,1.0,1.960603,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
196.005,470.0,291.8,1.9166,159.568,1.0,1.380659,0.0652,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
186.48,470.0,463.6,0.5163,180.1072,1.0,11.125745,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
154.29,241.0,199.8,2.4062,19.0,1.0,0.65567,0.0931,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
168.72,222.0,247.2,0.4202,104.8976,1.0,0.50511,0.0106,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
120.99,347.0,213.0,3.9907,49.8,1.0,0.661773,0.0502,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
167.535,263.0,453.8,2.4702,96.9808,1.0,1.449304,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
166.44,355.0,256.4,1.5103,129.649,10.0,2.862753,0.009,0.002,0.004,0.0004,0.004,0.0018,0.0893,Rojo
192.72,454.0,303.4,1.1938,141.6166,1.0,7.556331,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
406.245,742.0,477.2,3.4757,243.3412,1.0,3.962382,0.009,0.002,0.004,0.0004,0.004,0.0022,0.024,Rojo
298.35,624.0,412.8,0.6899,283.7406,1.0,5.535614,0.009,0.002,0.004,0.0004,0.004,0.0016,0.024,Verde
214.37,1081.0,741.2,1.288,154.7676,1.0,0.040054,0.009,0.002,0.004,0.0004,0.004,0.0106,0.104,Verde
410.7,602.0,668.4,0.5241,469.0704,1.0,0.01,0.027,0.002,0.004,0.0004,0.004,0.0845,0.632,Rojo
543.9,1140.0,966.6,2.6454,281.0464,1.0,0.581365,0.0334,0.002,0.004,0.0013,0.004,0.0014,0.024,Rojo
154.78,338.0,280.6,4.6166,32.7393,1.0,2.382666,0.0376,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
211.46,388.0,307.0,0.7391,152.7834,1.0,0.750463,0.028,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
203.83,416.0,306.2,1.2584,126.9888,31.0,2.379769,0.0281,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
166.855,440.0,247.2,0.7008,138.894,331.0,1.42116,0.009,0.002,0.0094,0.0004,0.004,0.0175,0.6017,Amarillo
197.795,400.0,255.8,0.3829,152.7834,1.0,0.535294,0.0208,0.002,0.004,0.0004,0.004,0.0029,0.0608,Verde
331.5,877.0,625.8,1.0355,275.8038,880.0,11.539281,0.0226,0.002,0.004,0.0004,0.004,0.0231,0.024,Rojo
239.76,384.0,371.6,1.1935,148.44,1.0,2.548805,0.0122,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
108.87,262.0,204.0,0.9572,201.31,40.0,0.01,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
141.0,513.0,396.0,0.345,163.0,1.0,0.029,0.009,0.002,0.004,0.0006,0.004,0.0021,0.0259,Verde
119.0,300.0,198.0,0.1,82.0,1.0,0.01,0.009,0.002,0.004,0.0004,0.004,0.0035,0.0772,Verde
188.14,481.0,420.0,1.4547,355.25,210.0,3.9254,0.009,0.002,0.004,0.0004,0.004,0.00212,0.2347,Verde
111.74,254.0,220.0,0.8101,268.41,40.0,0.2653,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0888,Verde
198.64,231.0,312.0,0.7575,398.67,1.0,0.0417,0.009,0.002,0.004,0.0004,0.004,0.0014,0.09158,Verde
126.06,308.0,152.0,0.1,226.96,40.0,0.0368,0.009,0.002,0.004,0.0004,0.004,0.0014,0.40793,Amarillo
257.85,580.0,428.0,0.8621,380.9,1.0,0.0789,0.009,0.002,0.004,0.0004,0.004,0.0014,0.08325,Verde
93.59,205.0,208.0,0.5387,213.15,1.0,3.6081,0.009,0.002,0.004,0.0004,0.004,0.0014,0.14458,Verde
149.94,284.0,176.0,0.3568,126.31,40.0,2.2109,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0298,Verde
70.67,217.0,184.0,0.4307,96.71,40.0,1.3703,0.009,0.002,0.004,0.0004,0.004,0.00193,0.13149,Verde
71.94,815.0,167.4,0.266,45.517,1.0,1.248202,0.009,0.002,0.004,0.0004,0.004,0.005,0.024,Verde
392.4,966.0,632.8,0.406,286.955,1.0,0.045367,0.009,0.002,0.004,0.0004,0.0135,0.2073,4.297,Rojo
532.89,14350.0,2452.0,1.5566,1081.53,1.0,0.7703,0.009,0.002,0.004,0.0004,0.004,0.4796,0.8647,Rojo
315.0,837.0,800.0,3.07,35.0,1.0,0.027,0.0546,0.002,0.0099,0.0005,0.004,0.0374,0.0759,Rojo
202.0,730.0,502.0,4.725,40.0,1.0,0.042,0.012,0.002,0.007,0.0004,0.004,0.0021,0.024,Rojo
307.0,1027.0,660.0,3.01,69.0,23.0,0.112,0.074,0.002,0.004,0.0004,0.004,0.0061,0.024,Rojo
249.0,760.0,506.0,1.38,175.0,1.0,0.163,0.009,0.002,0.006,0.0004,0.004,0.0021,0.024,Verde
424.0,1472.0,896.0,1.09,343.0,1.0,0.105,0.009,0.002,0.007,0.0004,0.004,0.0019,0.024,Amarillo
248.0,934.0,556.0,3.295,26.0,4.0,0.037,0.06,0.002,0.004,0.0004,0.004,0.0846,0.0291,Rojo
301.125,1236.0,640.8,3.6931,19.0,20.0,0.49804,0.1753,0.002,0.004,0.0004,0.004,0.0014,0.0544,Rojo
650.0,2874.0,2174.0,1.72,870.0,240.0,0.01,0.051,0.002,0.016,0.0004,0.004,2.015,1.733,Rojo
449.0,1619.0,1040.0,4.87,180.0,1.0,0.508,0.0242,0.002,0.014,0.0006,0.004,0.0446,0.0336,Rojo
768.69,815.0,1784.0,3.3315,41.5632,31.0,0.278031,0.15,0.002,0.004,0.0004,0.004,0.0345,0.0539,Rojo
238.65,650.0,375.6,1.1708,127.488,1.0,1.688472,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
217.56,664.0,390.3333,1.2737,127.488,1.0,1.774445,0.009,0.002,0.004,0.0004,0.004,0.0017,0.0468,Verde
325.23,706.0,456.6667,1.0104,233.064,1720.0,9.061385,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
552.78,4130.0,2905.6667,0.1,1195.2,218.0,32.462322,0.009,0.002,0.005,0.0004,0.004,0.0306,0.56,Rojo
466.31,3900.0,3147.8,0.1,1257.9828,1.0,30.353236,0.0201,0.002,0.004,0.0004,0.004,0.0014,0.0418,Rojo
241.995,495.0,347.2,0.1,212.3094,557.0,4.41692,0.009,0.002,0.0089,0.0004,0.004,0.0021,0.1969,Verde
298.35,587.0,391.2,0.2833,283.7406,1.0,8.41619,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0657,Verde
150.28,370.0,267.2,1.4785,121.0362,11199.0,4.393838,0.0139,0.002,0.004,0.0004,0.004,0.0014,0.1042,Rojo
144.3,337.0,251.6,0.5028,99.6,1.0,0.997002,0.009,0.002,0.0051,0.0004,0.004,0.0015,0.3015,Amarillo
764.66,1743.0,946.4,1.9417,61.5102,1.0,0.01,0.1916,0.002,0.004,0.0004,0.004,0.0322,1.157,Rojo
310.505,811.0,493.6,4.1785,19.0,110.0,0.241298,0.0949,0.002,0.004,0.0004,0.004,0.0017,0.1623,Rojo
140.97,352.0,904.6667,1.3065,19.0,1.0,1.902045,0.0106,0.002,0.004,0.0004,0.004,0.0014,0.0614,Verde
157.62,437.0,681.0,1.6543,27.888,189.0,1.770209,0.009,0.002,0.004,0.0004,0.004,0.003,0.1916,Rojo
176.0,922.0,720.0,0.614,325.0,93.0,0.147,0.009,0.002,0.004,0.0004,0.004,0.0108,0.024,Verde
255.0,567.0,418.0,0.321,109.0,1.0,0.153,0.1663,0.002,0.004,0.0004,0.004,0.0014,0.0492,Rojo
333.0,1197.0,662.0,0.333,379.0,1.0,0.991,0.009,0.002,0.004,0.0006,0.004,0.003,0.024,Verde
171.0,539.0,189.0,0.614,126.0,1.0,0.66,0.0125,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
193.0,474.0,356.0,0.436,115.0,1.0,0.073,0.009,0.002,0.004,0.0008,0.004,0.0014,0.024,Verde
161.0,707.0,442.0,0.768,124.0,1.0,0.01,0.009,0.002,0.004,0.0006,0.004,0.0098,0.0434,Verde
298.0,787.0,540.0,0.408,160.0,1.0,0.163,0.009,0.002,0.006,0.0004,0.004,0.0064,0.024,Verde
243.0,582.0,387.0,0.321,157.0,1.0,0.01,0.0167,0.002,0.004,0.0006,0.004,0.398,0.4271,Amarillo
304.0,804.0,576.0,0.805,160.0,1.0,0.996,0.009,0.002,0.004,0.0004,0.004,0.0026,0.024,Verde
414.0,1283.0,876.0,0.556,228.0,7.0,0.021,0.066,0.002,0.004,0.0006,0.004,0.3015,0.426,Rojo
182.0,469.0,308.0,0.219,142.0,1.0,0.534,0.009,0.002,0.004,0.0004,0.004,0.0345,0.1661,Verde
149.0,360.0,258.0,0.654,56.0,1.0,0.086,0.009,0.002,0.01,0.0005,0.004,0.0014,0.024,Verde
200.0,473.0,320.0,0.619,131.0,1.0,0.09,0.009,0.002,0.0161,0.0006,0.004,0.0023,0.0343,Verde
377.775,1244.0,1088.6667,1.0576,279.0672,135.0,5.73937,0.009,0.002,0.004,0.0004,0.004,0.003,0.2256,Verde
317.55,678.0,438.0,0.4702,199.8992,1.0,0.490224,0.009,0.002,0.004,0.0004,0.004,0.3843,0.0387,Amarillo
409.53,863.0,582.2,0.3467,267.192,1.0,1.793147,0.009,0.002,0.004,0.0004,0.004,0.4794,0.0823,Amarillo
497.0,1322.0,1290.0,0.699,241.0,1.0,1.305,0.0151,0.002,0.0092,0.0004,0.004,0.0021,0.024,Amarillo
207.0,582.0,560.0,1.035,53.0,1.0,0.2,0.0226,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
175.75,1256.0,664.0,0.1,214.0,1.0,1.885,0.009,0.002,0.004,0.0004,0.004,0.00449,0.0604,Verde
220.0,1014.0,1102.0,0.595,314.0,1.0,0.01,0.009,0.002,0.01761,0.0007,0.004,0.14319,0.33634,Rojo
349.0,1119.0,576.0,0.1,356.0,1.0,6.432,0.009,0.002,0.0122,0.00055,0.004,0.03623,0.0566,Verde
356.0,1117.0,577.0,0.1,390.0,1.0,6.163,0.009,0.002,0.01211,0.0004,0.004,0.0014,0.04352,Verde
140.0,485.0,266.0,0.235,190.0,90.0,0.01,0.009,0.002,0.01332,0.0004,0.004,0.74419,2.17822,Amarillo
153.7,2599.0,2464.0,1.6185,45.39,1.0,0.043,0.009,0.002,0.004,0.0004,0.004,0.017,0.1769,Rojo
227.29,2718.0,1704.0,0.1,444.06,1.0,2.2732,0.009,0.002,0.004,0.0004,0.004,0.1603,16.4371,Amarillo
106.01,1891.0,1136.0,0.8942,262.49,1.0,2.5176,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2639,Verde
257.85,1434.0,948.0,0.1,967.06,1.0,10.8918,0.009,0.002,0.004,0.0004,0.004,0.0014,0.13043,Amarillo
383.91,1339.0,960.0,0.6045,986.8,40.0,1.8105,0.009,0.002,0.004,0.0004,0.004,0.0014,0.41903,Amarillo
401.1,1926.0,1264.0,0.7042,1095.35,70.0,5.09,0.009,0.002,0.004,0.0004,0.004,0.00255,0.39683,Amarillo
115.56,925.0,632.0,0.4343,86.84,1.0,0.8916,0.009,0.002,0.004,0.0004,0.004,0.50391,0.35931,Amarillo
417.34,1816.0,1248.0,0.7178,1292.71,40.0,5.333,0.009,0.002,0.004,0.0004,0.004,0.00278,0.4107,Amarillo
187.18,1402.0,852.0,0.4592,110.52,1.0,3.2537,0.009,0.002,0.004,0.0004,0.004,0.0014,1.09321,Amarillo
386.78,1144.0,808.0,0.1,852.6,1.0,2.8146,0.009,0.002,0.004,0.0004,0.004,0.0014,0.08602,Amarillo
257.85,2313.0,656.0,0.1,84.86,1.0,1.716,0.009,0.002,0.004,0.0004,0.0809,0.01761,0.6978,Rojo
231.8,860.0,356.0,0.1,390.77,1.0,0.1994,0.009,0.002,0.004,0.0004,0.004,0.0014,0.19895,Verde
192.91,212.0,104.0,0.1,78.94,1.0,2.6854,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0341,Verde
135.61,425.0,268.0,0.2658,120.39,1.0,1.7477,0.009,0.002,0.004,0.0004,0.004,0.0049,0.024,Verde
148.03,618.0,304.0,1.5592,114.47,1.0,2.16,0.009,0.002,0.004,0.0004,0.004,0.0014,0.50391,Rojo
211.0,1286.0,930.0,12.478,19.0,1.0,0.231,0.0132,0.002,0.004,0.0007,0.004,0.0014,0.024,Rojo
263.58,924.0,608.0,0.1,272.36,40.0,1.7467,0.009,0.002,0.004,0.0004,0.0219,0.0025,0.38931,Rojo
303.69,1479.0,460.0,0.6251,51.31,1.0,1.9832,0.009,0.002,0.004,0.0004,0.0152,0.0014,0.56982,Rojo
145.16,699.0,364.0,0.2654,108.55,1.0,0.0733,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2519,Verde
278.86,2235.0,1772.0,0.7211,392.75,1.0,1.3276,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Amarillo
190.05,754.0,344.0,0.5673,82.89,1.0,0.06,0.009,0.002,0.004,0.0004,0.004,0.0014,0.6035,Amarillo
322.79,1936.0,692.0,0.1,294.07,40.0,0.0783,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
240.35,1250.0,496.0,0.1,440.11,1.0,0.9047,0.009,0.002,0.004,0.0004,0.004,0.0014,0.165,Verde
204.37,883.0,376.0,0.2891,329.59,1.0,0.0672,0.009,0.002,0.004,0.00131,0.004,0.0014,0.09421,Verde
210.1,753.0,300.0,0.2507,282.22,1.0,0.0984,0.009,0.002,0.004,0.00066,0.004,0.0014,0.05807,Verde
157.58,217.0,148.0,0.1,41.45,1.0,0.7694,0.009,0.002,0.01,0.0004,0.004,0.0014,0.20191,Verde
118.42,263.0,224.0,0.1,61.18,1.0,1.2477,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
76.4,193.0,392.0,0.6599,49.34,1.0,0.0497,0.009,0.002,0.0183,0.0004,0.004,0.0134,0.2296,Verde
54.44,1482.0,320.0,0.4725,92.76,1.0,0.1972,0.1091,0.002,0.0201,0.0004,0.004,0.1401,0.2957,Rojo
139.43,3497.0,1736.0,0.8859,140.13,1.0,1.3681,0.009,0.002,0.0156,0.0004,0.004,0.0014,0.0412,Amarillo
410.65,4331.0,2248.0,3.4144,1349.94,1.0,5.1665,0.009,0.002,0.004,0.0004,0.004,1.009,1.2931,Rojo
358.13,2745.0,1104.0,2.3928,598.0,1.0,6.012,0.009,0.002,0.004,0.0004,0.004,0.015,0.2431,Rojo
408.78,2675.0,988.0,0.8733,686.81,40.0,2.6373,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2241,Amarillo
422.11,1964.0,660.0,1.1606,592.08,1.0,2.0111,0.009,0.002,0.004,0.0004,0.004,0.0185,0.2093,Amarillo
416.38,2860.0,1024.0,0.797,485.51,40.0,2.1483,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2257,Amarillo
129.88,509.0,168.0,0.1,99.79,1.0,1.4568,0.009,0.002,0.004,0.0004,0.004,0.0034,0.17481,Verde
403.3,826.0,546.4,0.8505,243.417,1.0,1.99488,0.0107,0.002,0.005,0.0004,0.004,0.0014,0.024,Amarillo
350.98,876.0,529.2,5.1379,118.74,1.0,1.704031,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
207.1,567.0,404.6,3.3458,122.698,1.0,1.860726,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
168.95,373.0,309.2,1.5649,83.118,1.0,1.254951,0.009,0.002,0.0087,0.0004,0.004,0.0014,0.024,Rojo
256.15,733.0,456.8,1.3741,168.215,1.0,2.397732,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0769,Verde
116.63,360.0,312.4,0.9949,79.16,1.0,3.363696,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
156.96,451.0,260.2,1.6628,33.643,1.0,0.772279,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
190.75,369.0,267.0,1.6619,91.034,1.0,1.69327,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Rojo
198.38,539.0,372.0,1.1364,110.824,1.0,1.893787,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
158.05,740.0,262.4,4.2928,51.454,1.0,0.948563,0.009,0.002,0.004,0.0004,0.004,0.0164,0.0415,Rojo
192.0,516.0,345.0,0.299,103.0,3.0,0.161,0.009,0.002,0.0099,0.0004,0.004,0.1053,0.0451,Verde
196.0,801.0,500.2,10.5832,24.8725,1.0,0.082995,0.009,0.002,0.004,0.0004,0.004,0.0348,0.1118,Rojo
73.26,184.7,174.2,0.1,71.6184,1.0,5.340597,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
160.0,499.0,380.0,1.353,78.0,1.0,0.168,0.009,0.002,0.004,0.0005,0.004,0.0014,0.024,Verde
192.0,468.0,326.0,0.711,86.0,1.0,0.15,0.009,0.002,0.0052,0.0004,0.004,0.0014,0.024,Verde
164.0,449.0,290.0,0.1,128.0,1.0,0.033,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0565,Verde
341.0,1133.0,722.0,0.282,181.0,1.0,0.852,0.009,0.002,0.0061,0.0004,0.004,0.0203,0.024,Verde
151.0,369.0,232.0,0.1,133.0,7.0,0.058,0.009,0.002,0.004,0.0005,0.004,0.0014,0.024,Verde
106.0,239.0,222.0,0.282,51.0,11.0,0.061,0.009,0.002,0.004,0.0005,0.004,0.1591,0.3947,Amarillo
99.0,241.0,230.0,0.27,71.0,460.0,0.096,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
90.0,201.0,192.0,0.247,84.0,4.0,0.147,0.009,0.002,0.0053,0.0004,0.004,0.0107,0.0858,Verde
249.0,572.0,460.0,0.219,139.0,1.0,0.477,0.009,0.002,0.004,0.0005,0.004,0.0014,0.024,Verde
127.0,266.0,216.0,0.276,53.0,1.0,0.057,0.009,0.002,0.004,0.0005,0.004,0.032,0.0492,Verde
316.0,786.0,461.0,0.236,90.0,1.0,0.01,0.009,0.002,0.0053,0.0008,0.004,0.3008,0.3714,Amarillo
316.0,367.0,316.0,0.31,126.0,1.0,0.139,0.009,0.002,0.0051,0.0004,0.004,0.0014,0.024,Verde
221.0,536.0,384.0,0.379,170.0,1.0,0.029,0.009,0.002,0.004,0.0009,0.004,0.4308,1.102,Amarillo
93.0,416.0,287.0,0.213,133.0,1.0,0.054,0.009,0.002,0.004,0.0004,0.004,0.6073,0.6,Amarillo
84.0,187.0,171.0,0.579,48.0,1.0,0.096,0.009,0.002,0.004,0.0006,0.004,0.0014,0.024,Verde
161.0,500.0,375.0,0.562,109.0,7.0,0.01,0.009,0.002,0.0066,0.0004,0.004,0.0464,0.5081,Amarillo
79.0,300.0,296.0,0.393,96.0,23.0,0.21,0.009,0.002,0.004,0.0006,0.004,0.0121,0.024,Verde
102.0,301.0,286.0,0.276,120.0,21.0,0.615,0.009,0.002,0.004,0.0004,0.004,0.0028,0.3525,Amarillo
131.0,400.0,317.0,0.35,156.0,75.0,1.149,0.009,0.002,0.004,0.0005,0.004,0.0014,0.024,Verde
263.0,495.0,400.0,0.39,223.0,1.0,0.138,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024,Verde
203.0,387.0,299.0,0.396,155.0,1.0,0.096,0.009,0.002,0.0081,0.0004,0.004,0.2565,0.1417,Amarillo
303.0,606.0,425.0,0.408,218.0,1.0,0.131,0.009,0.002,0.004,0.0006,0.004,0.0014,0.1027,Verde
626.0,2193.0,1431.0,0.805,262.0,4.0,0.393,0.1115,0.002,0.004,0.0004,0.004,0.5489,0.024,Rojo
86.0,348.0,240.0,0.1,132.0,1.0,0.993,0.009,0.002,0.0078,0.0006,0.004,0.0014,0.024,Verde
62.16,421.0,352.6,0.1,102.9184,1.0,13.813614,0.009,0.002,0.004,0.0004,0.004,0.0031,0.1378,Rojo
106.215,628.0,456.4,0.2985,106.8768,90.0,8.311627,0.009,0.002,0.004,0.0004,0.004,0.0021,0.024,Verde
118.77,769.0,432.6,0.1,102.9184,1.0,0.817391,0.009,0.002,0.004,0.0004,0.004,0.0052,0.1396,Verde
215.5275,302.0,335.2,0.1,77.1888,1.0,11.004114,0.009,0.002,0.004,0.0004,0.004,0.0422,0.0922,Rojo
215.5275,50.4,24.0,0.1,19.0,31.0,0.124414,0.009,0.002,0.004,0.0004,0.004,0.0152,0.2206,Verde
175.2,1180.0,616.4,0.4972,53.8542,1.0,0.01,0.028,0.002,0.004,0.0004,0.004,0.3223,0.3982,Rojo
193.815,706.0,369.0,0.3219,169.541,1098.0,0.01,0.009,0.002,0.0084,0.0004,0.004,1.477,2.721,Rojo
163.155,406.0,219.0,0.8239,67.8164,1.0,0.990096,0.0412,0.002,0.004,0.0004,0.004,0.0208,0.2157,Rojo
200.0,434.0,362.0,0.1,192.0,1.0,4.306,0.009,0.002,0.021,0.00066,0.01117,0.0108,0.69888,Rojo
235.0,810.0,554.0,0.1,246.0,1.0,2.443,0.009,0.002,0.00741,0.00086,0.00813,0.003,0.13811,Verde
