,ALC_mg/L,CONDUCT_mS/cm,SDT_M_mg/L,FLUORUROS_mg/L,DUR_mg/L,COLI_FEC_NMP/100_mL,N_NO3_mg/L,AS_TOT_mg/L,CD_TOT_mg/L,CR_TOT_mg/L,HG_TOT_mg/L,PB_TOT_mg/L,MN_TOT_mg/L,FE_TOT_mg/L
47,229.77,3380.0,1861.0,0.8119,616.714,1421.0,3.106493,0.009,0.002,0.004,0.0004,0.004,0.0028,0.0602
48,155.4,1134.0,530.2,0.7515,151.392,1.0,6.633247,0.009,0.002,0.0055,0.0004,0.004,0.0014,0.024
49,127.65,748.0,258.3333,0.4462,75.696,1.0,0.834827,0.0569,0.002,0.005,0.0004,0.004,0.0014,0.026
50,144.3,597.0,363.0,0.3728,199.8992,10.0,1.217581,0.009,0.002,0.004,0.0004,0.004,0.0023,0.0388
51,85.47,266.0,249.2,0.2664,91.0432,1.0,2.752412,0.009,0.002,0.004,0.0004,0.004,0.0025,0.0607
52,202.02,1469.0,682.8,2.2275,184.0656,14136.0,2.146111,0.009,0.002,0.004,0.0004,0.004,0.0096,0.0257
53,316.11,2119.0,1408.0,0.9497,747.99,40.0,0.526,0.009,0.002,0.004,0.0004,0.004,0.00425,0.15967
54,145.16,3404.0,2386.0,0.2482,777.89,1.0,5.4536,0.009,0.002,0.004,0.0004,0.004,0.0014,0.15314
55,199.5,1591.0,1054.0,0.2655,729.83,1.0,3.0816,0.009,0.002,0.004,0.0004,0.004,0.0014,0.26019
56,278.86,766.0,514.0,0.3207,305.22,1.0,1.0098,0.009,0.002,0.004,0.0004,0.004,0.0061,0.2531
57,261.67,2404.0,1572.0,0.3284,781.55,1.0,4.0016,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2197
58,291.28,5791.0,3606.0,0.6042,580.24,40.0,3.1708,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2695
59,245.44,1366.0,907.0,0.9832,955.22,40.0,1.1968,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2799
60,267.4,957.0,638.0,0.2462,376.96,1.0,2.1879,0.009,0.002,0.004,0.0004,0.004,0.0091,0.2901
61,309.42,1332.0,878.0,0.6138,475.64,1.0,2.6617,0.009,0.002,0.004,0.0004,0.004,0.0014,0.1986
62,319.93,1211.0,803.0,1.658,315.78,1.0,1.0291,0.009,0.002,0.004,0.0004,0.004,0.0104,0.13971
63,300.83,1751.0,1158.0,1.4981,584.19,1.0,0.838,0.009,0.002,0.004,0.0004,0.004,0.0014,0.1399
64,305.6,1802.0,1191.0,1.7838,722.34,1.0,1.4103,0.009,0.002,0.004,0.0004,0.004,0.0014,0.2499
65,296.05,2266.0,1485.0,0.4265,659.18,1.0,5.4816,0.009,0.002,0.004,0.0004,0.004,0.00493,0.024
66,279.82,2762.0,1777.0,0.5588,951.28,1.0,4.3521,0.009,0.002,0.004,0.0004,0.004,0.01431,0.024
67,241.62,2486.0,1595.0,0.828,832.86,1.0,2.1409,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
68,304.65,2595.0,1699.0,0.489,773.65,1.0,8.3893,0.009,0.002,0.004,0.0004,0.004,0.002,0.024
69,297.01,3207.0,2097.0,0.2469,959.17,1.0,5.6645,0.009,0.002,0.004,0.0004,0.004,0.00479,0.024
70,275.04,720.0,502.0,0.9052,284.2,1.0,0.6119,0.009,0.002,0.004,0.0004,0.004,0.0251,0.2005
71,194.82,3666.0,2398.0,2.0459,376.96,1.0,1.3889,0.009,0.002,0.004,0.0004,0.004,0.0014,0.11491
